date,ntrt,arm,net_primary_production,stem_mass_density,plant_density,stem_n_concentration,n_assimilated,site_name,site_lat,site_lon
1/1/12,15,2,237.6,86.1,75320,8.65,2.06,site_35,45.57,-89.77
1/1/12,15,3,390.4,114.5,59366,7.92,3.09,site_36,45.58,-89.78
1/1/12,20,1,150.4,79.2,46184,8.08,1.22,site_37,45.59,-89.79
1/1/12,20,2,118.4,98.6,46029,9.07,1.07,site_38,45.6,-89.8
1/1/12,20,3,251.4,122.1,40683,9.04,2.27,site_39,45.61,-89.81
1/1/12,25,1,244.5,100.6,82874,8.58,2.1,site_40,45.62,-89.82
1/1/12,25,2,465.1,268.8,54546,9.58,4.46,site_41,45.63,-89.83
1/1/12,25,3,162.3,109.7,54847,7.97,1.29,site_42,45.64,-89.84
1/1/13,C,1,540.7,178.7,50026,9.73,5.26,site_43,45.65,-89.85
1/1/13,C,2,341.7,126.7,57229,11.88,4.06,site_44,45.66,-89.86
1/1/13,C,3,318.6,99,49507,10.31,3.28,site_45,45.67,-89.87
1/1/13,0,1,176.3,63,55149,8.52,1.5,site_46,45.68,-89.88
1/1/13,0,2,148.7,81.8,54546,10.09,1.5,site_47,45.69,-89.89
1/1/13,0,3,154.2,113.7,49724,9.07,1.4,site_48,45.7,-89.9
1/1/13,5,1,184.4,73.6,60573,9.84,1.81,site_49,45.71,-89.91
1/1/13,5,2,218,62,72326,9.12,1.99,site_50,45.72,-89.92
1/1/13,5,3,201.6,60.4,49724,8.85,1.78,site_51,45.73,-89.93
1/1/13,10,1,184,81.5,87719,8.83,1.63,site_52,45.74,-89.94
1/1/13,10,2,264.7,110.3,55149,10.43,2.76,site_53,45.75,-89.95
1/1/13,10,3,115.6,58.2,50930,8.31,0.96,site_54,45.76,-89.96
1/1/13,15,1,183.4,96.5,58765,8.81,1.62,site_55,45.77,-89.97
1/1/13,15,2,110,64.7,50312,11.44,1.26,site_56,45.78,-89.98
1/1/13,15,3,130.9,68.9,38574,10.4,1.36,site_57,45.79,-89.99
1/1/13,20,1,154.3,45.2,42155,9.41,1.45,site_58,45.8,-90
1/1/13,20,2,113.6,95.7,31171,9.92,1.13,site_59,45.81,-90.01
1/1/13,20,3,175.7,65.3,24711,9.96,1.75,site_60,45.82,-90.02
1/1/13,25,1,260.3,92.4,44601,10.29,2.68,site_61,45.83,-90.03
1/1/13,25,2,87.3,39.4,55149,11.22,0.98,site_62,45.84,-90.04
1/1/13,25,3,117.7,51.5,27725,9.7,1.14,site_63,45.85,-90.05
1/1/14,C,1,272,92.9,50026,8.76,2.38,site_64,45.86,-90.06
1/1/14,C,2,202.3,96.7,63852,9.37,1.9,site_65,45.87,-90.07
1/1/14,C,3,222.9,87.7,42793,9.25,2.06,site_66,45.88,-90.08
1/1/14,0,1,109.2,61.1,52436,8.63,0.94,site_67,45.89,-90.09
1/1/14,0,2,225.7,73.2,53943,9.16,2.07,site_68,45.9,-90.1
1/1/14,0,3,269,130.9,49121,7.97,2.14,site_69,45.91,-90.11
1/1/14,5,1,184.1,63.4,43094,7.79,1.44,site_70,45.92,-90.12
1/1/14,5,2,207.1,93.5,68191,8.46,1.75,site_71,45.93,-90.13
1/1/14,5,3,159.1,77.5,45806,8.86,1.41,site_72,45.94,-90.14
1/1/14,10,1,417.5,155.7,55751,8.03,3.35,site_73,45.95,-90.15
1/1/14,10,2,154.8,72.3,37067,9.62,1.49,site_74,45.96,-90.16
1/1/14,10,3,143.5,92.7,35736,8.93,1.28,site_75,45.97,-90.17
1/1/14,15,1,61.5,65.9,30437,9.23,0.57,site_76,45.98,-90.18
1/1/14,15,2,89.7,63.7,30739,10.47,0.94,site_77,45.99,-90.19
1/1/14,15,3,55,58.4,27986,7.86,0.43,site_78,46,-90.2
1/1/14,20,1,245.6,70.7,34355,12.47,3.06,site_79,46.01,-90.21
1/1/14,20,2,136.6,82.9,33149,9.05,1.24,site_80,46.02,-90.22
1/1/14,20,3,87.6,43.6,20191,10.7,0.94,site_81,46.03,-90.23
1/1/14,25,1,211.4,59.3,31341,12.44,2.63,site_82,46.04,-90.24
1/1/14,25,2,136.1,56.8,30136,9.99,1.36,site_83,46.05,-90.25
1/1/14,25,3,113.2,44.9,21095,8.78,0.99,site_84,46.06,-90.26
1/1/15,C,1,381.7,124,59669,8.87,3.38,site_85,46.07,-90.27
1/1/15,C,2,372.9,139.4,56408,8.86,3.31,site_86,46.08,-90.28
1/1/15,C,3,262.8,92,36790,9.39,2.47,site_87,46.09,-90.29
1/1/15,0,1,292,135.1,51834,7.77,2.27,site_88,46.1,-90.3
1/1/15,0,2,464.1,189.5,52135,6.83,3.17,site_89,46.11,-90.31
1/1/15,0,3,255.2,155.1,44601,7.23,1.84,site_90,46.12,-90.32
1/1/15,5,1,344.6,81.2,44944,8.39,2.89,site_91,46.13,-90.33
1/1/15,5,2,246.1,107.2,51231,7.56,1.86,site_92,46.14,-90.34
1/1/15,5,3,147.8,74.3,43712,8.46,1.25,site_93,46.15,-90.35
1/1/15,10,2,70.4,49.2,28930,10.4,0.73,site_94,46.16,-90.36
1/1/15,10,3,142.9,66.8,24410,8.94,1.28,site_95,46.17,-90.37
1/1/15,15,1,159.9,77.8,24410,7.65,1.22,site_96,46.18,-90.38
1/1/15,15,2,123.1,50.4,25314,9.39,1.16,site_97,46.19,-90.39
1/1/15,15,3,39.4,42.4,28930,10.12,0.4,site_98,46.2,-90.4
1/1/15,20,1,251.4,69.8,47916,9.5,2.39,site_99,46.21,-90.41
1/1/15,20,2,79.7,51.5,35862,8.29,0.66,site_100,46.22,-90.42
1/1/15,20,3,62.6,29.5,25013,8.43,0.53,site_101,46.23,-90.43
1/1/15,25,1,312.1,81,36464,9.3,2.9,site_102,46.24,-90.44
1/1/15,25,2,146.5,47.7,34054,9.47,1.39,site_103,46.25,-90.45
1/1/15,25,3,82.8,33.2,21999,9.26,0.77,site_104,46.26,-90.46
