TYPE,YEAR_PLACED_IN_FIELD,ARM,NTRT,YEAR,PERCENT_LOSS
Sphagnum,2015,3,25,2015,14.71
Sphagnum,2015,3,25,2015,6.64
Sphagnum,2015,3,25,2015,4.75
Vascular,2014,1,C,2014,30.71
Vascular,2014,1,C,2014,49.9
Vascular,2014,1,C,2014,39.04
Vascular,2014,2,C,2014,41.26
Vascular,2014,2,C,2014,44.31
Vascular,2014,2,C,2014,21.58
Vascular,2014,3,C,2014,30.51
Vascular,2014,3,C,2014,0
Vascular,2014,3,C,2014,36.49
Vascular,2014,1,0,2014,27.54
Vascular,2014,1,0,2014,-99999
Vascular,2014,1,0,2014,27.56
Vascular,2014,2,0,2014,36.37
Vascular,2014,2,0,2014,39.84
Vascular,2014,2,0,2014,-99999
Vascular,2014,3,0,2014,52.38
Vascular,2014,3,0,2014,51.24
Vascular,2014,3,0,2014,48.72
Vascular,2014,1,5,2014,29.83
Vascular,2014,1,5,2014,38.68
Vascular,2014,1,5,2014,35.19
Vascular,2014,2,5,2014,-99999
Vascular,2014,2,5,2014,-99999
Vascular,2014,2,5,2014,-99999
Vascular,2014,3,5,2014,33.57
Vascular,2014,3,5,2014,43.3
Vascular,2014,3,5,2014,43.82
Vascular,2014,1,10,2014,28.11
Vascular,2014,1,10,2014,21.57
Vascular,2014,1,10,2014,40.25
Vascular,2014,2,10,2014,44.02
Vascular,2014,2,10,2014,37.82
Vascular,2014,2,10,2014,36.84
Vascular,2014,3,10,2014,33.63
Vascular,2014,3,10,2014,23.17
Vascular,2014,3,10,2014,38.9
Vascular,2014,1,15,2014,-99999
Vascular,2014,1,15,2014,-99999
Vascular,2014,1,15,2014,44.61
Vascular,2014,2,15,2014,44.37
Vascular,2014,2,15,2014,36.64
Vascular,2014,2,15,2014,42.16
Vascular,2014,3,15,2014,32.49
Vascular,2014,3,15,2014,50.29
Vascular,2014,3,15,2014,25.58
Vascular,2014,1,20,2014,36.24
Vascular,2014,1,20,2014,31.88
Vascular,2014,1,20,2014,29.28
Vascular,2014,2,20,2014,48.58
Vascular,2014,2,20,2014,49.01
Vascular,2014,2,20,2014,44.15
Vascular,2014,3,20,2014,40.57
Vascular,2014,3,20,2014,29.16
Vascular,2014,3,20,2014,33.56
Vascular,2014,1,25,2014,30.61
Vascular,2014,1,25,2014,42.84
Vascular,2014,1,25,2014,35.2
Vascular,2014,2,25,2014,27.91
Vascular,2014,2,25,2014,33.17
Vascular,2014,2,25,2014,-99999
Vascular,2014,3,25,2014,37.44
Vascular,2014,3,25,2014,27.99
Vascular,2014,3,25,2014,34.92
Vascular,2015,1,C,2015,43.31
Vascular,2015,1,C,2015,46.52
Vascular,2015,1,C,2015,41.1
Vascular,2015,1,C,2015,23.9
Vascular,2015,2,C,2015,44.13
Vascular,2015,2,C,2015,37.12
Vascular,2015,2,C,2015,36.72
Vascular,2015,2,C,2015,28.08
Vascular,2015,3,C,2015,39.52
Vascular,2015,3,C,2015,32.12
Vascular,2015,3,C,2015,36.31
Vascular,2015,3,C,2015,41.44
Vascular,2015,1,0,2015,42.95
Vascular,2015,1,0,2015,45.85
Vascular,2015,1,0,2015,57.6
Vascular,2015,1,0,2015,41.21
Vascular,2015,2,0,2015,43.49
Vascular,2015,2,0,2015,40.85
Vascular,2015,2,0,2015,39.25
Vascular,2015,2,0,2015,44.05
Vascular,2015,3,0,2015,48.35
Vascular,2015,3,0,2015,53.93
Vascular,2015,3,0,2015,57.65
Vascular,2015,3,0,2015,46.64
Vascular,2015,1,5,2015,47.12
Vascular,2015,1,5,2015,49.55
Vascular,2015,1,5,2015,42.38
Vascular,2015,1,5,2015,49.61
Vascular,2015,2,5,2015,36.88
Vascular,2015,2,5,2015,49.98
Vascular,2015,2,5,2015,27.11
Vascular,2015,2,5,2015,56.04
Vascular,2015,3,5,2015,36.83
Vascular,2015,3,5,2015,50.84
Vascular,2015,3,5,2015,48.14
Vascular,2015,3,5,2015,50.09
Vascular,2015,1,10,2015,-99999
Vascular,2015,1,10,2015,48.83
Vascular,2015,1,10,2015,47.8
Vascular,2015,1,10,2015,44.35
Vascular,2015,2,10,2015,36.41
Vascular,2015,2,10,2015,45.09
Vascular,2015,2,10,2015,39.27
Vascular,2015,2,10,2015,27.94
Vascular,2015,3,10,2015,51.17
Vascular,2015,3,10,2015,48.98
Vascular,2015,3,10,2015,45.69
Vascular,2015,3,10,2015,56.33
Vascular,2015,1,15,2015,45.13
Vascular,2015,1,15,2015,41.27
Vascular,2015,1,15,2015,44.5
Vascular,2015,1,15,2015,45.79
Vascular,2015,2,15,2015,24.64
Vascular,2015,2,15,2015,31.82
Vascular,2015,2,15,2015,40.5
Vascular,2015,2,15,2015,35.23
Vascular,2015,3,15,2015,20.77
Vascular,2015,3,15,2015,38.1
Vascular,2015,3,15,2015,33.44
Vascular,2015,3,15,2015,38.4
Vascular,2015,1,20,2015,30.45
Vascular,2015,1,20,2015,-99999
Vascular,2015,1,20,2015,33.12
Vascular,2015,1,20,2015,32.19
Vascular,2015,2,20,2015,24.09
Vascular,2015,2,20,2015,37.39
Vascular,2015,2,20,2015,29.52
Vascular,2015,2,20,2015,30.02
Vascular,2015,3,20,2015,41.79
Vascular,2015,3,20,2015,41.24
Vascular,2015,3,20,2015,45.6
Vascular,2015,3,20,2015,35.72
Vascular,2015,1,25,2015,40.97
Vascular,2015,1,25,2015,41.92
Vascular,2015,1,25,2015,36.92
Vascular,2015,1,25,2015,47.19
Vascular,2015,2,25,2015,27.13
Vascular,2015,2,25,2015,33.67
Vascular,2015,2,25,2015,40.77
Vascular,2015,2,25,2015,45.95
Vascular,2015,3,25,2015,40.8
Vascular,2015,3,25,2015,27.64
Vascular,2015,3,25,2015,30.73
Vascular,2015,3,25,2015,41.32
